# Time,Step,PotEng
1.786000000000000000e+05,1.786000000000000000e+06,-9.352790600000000268e+03
1.788000000000000000e+05,1.788000000000000000e+06,-9.347956799999999930e+03
1.790000000000000000e+05,1.790000000000000000e+06,-9.355966399999999339e+03
1.792000000000000000e+05,1.792000000000000000e+06,-9.349990499999999884e+03
1.794000000000000000e+05,1.794000000000000000e+06,-9.348730499999999665e+03
1.796000000000000000e+05,1.796000000000000000e+06,-9.356994399999999587e+03
1.798000000000000000e+05,1.798000000000000000e+06,-9.348142599999999220e+03
1.800000000000000000e+05,1.800000000000000000e+06,-9.351046399999999267e+03
1.802000000000000000e+05,1.802000000000000000e+06,-9.357196099999999205e+03
1.804000000000000000e+05,1.804000000000000000e+06,-9.361010599999999613e+03
1.806000000000000000e+05,1.806000000000000000e+06,-9.345953499999999622e+03
1.808000000000000000e+05,1.808000000000000000e+06,-9.352475500000000466e+03
1.810000000000000000e+05,1.810000000000000000e+06,-9.364299699999999575e+03
1.812000000000000000e+05,1.812000000000000000e+06,-9.354137500000000728e+03
1.814000000000000000e+05,1.814000000000000000e+06,-9.353889400000000023e+03
1.816000000000000000e+05,1.816000000000000000e+06,-9.358462499999999636e+03
1.818000000000000000e+05,1.818000000000000000e+06,-9.348539399999999659e+03
1.820000000000000000e+05,1.820000000000000000e+06,-9.349517299999999523e+03
1.822000000000000000e+05,1.822000000000000000e+06,-9.357685499999999593e+03
1.824000000000000000e+05,1.824000000000000000e+06,-9.349282300000000760e+03
1.826000000000000000e+05,1.826000000000000000e+06,-9.353168299999999363e+03
1.828000000000000000e+05,1.828000000000000000e+06,-9.354302799999999479e+03
1.830000000000000000e+05,1.830000000000000000e+06,-9.355197200000000521e+03
1.832000000000000000e+05,1.832000000000000000e+06,-9.347534799999999450e+03
1.834000000000000000e+05,1.834000000000000000e+06,-9.354764300000000731e+03
1.836000000000000000e+05,1.836000000000000000e+06,-9.358544499999999971e+03
1.838000000000000000e+05,1.838000000000000000e+06,-9.346505600000000413e+03
1.840000000000000000e+05,1.840000000000000000e+06,-9.352986699999999473e+03
1.842000000000000000e+05,1.842000000000000000e+06,-9.354179099999999380e+03
1.844000000000000000e+05,1.844000000000000000e+06,-9.343201499999999214e+03
1.846000000000000000e+05,1.846000000000000000e+06,-9.345577799999999115e+03
1.848000000000000000e+05,1.848000000000000000e+06,-9.351307199999999284e+03
1.850000000000000000e+05,1.850000000000000000e+06,-9.352867899999999281e+03
1.852000000000000000e+05,1.852000000000000000e+06,-9.344899999999999636e+03
1.854000000000000000e+05,1.854000000000000000e+06,-9.341484700000000885e+03
1.856000000000000000e+05,1.856000000000000000e+06,-9.352948599999999715e+03
1.858000000000000000e+05,1.858000000000000000e+06,-9.351949099999999817e+03
1.860000000000000000e+05,1.860000000000000000e+06,-9.344512300000000323e+03
1.862000000000000000e+05,1.862000000000000000e+06,-9.356318799999999101e+03
1.864000000000000000e+05,1.864000000000000000e+06,-9.358677200000000084e+03
1.866000000000000000e+05,1.866000000000000000e+06,-9.343552100000000792e+03
1.868000000000000000e+05,1.868000000000000000e+06,-9.354626200000000608e+03
1.870000000000000000e+05,1.870000000000000000e+06,-9.355340700000000652e+03
1.872000000000000000e+05,1.872000000000000000e+06,-9.351002399999999398e+03
1.874000000000000000e+05,1.874000000000000000e+06,-9.360583599999999933e+03
1.876000000000000000e+05,1.876000000000000000e+06,-9.352694299999999203e+03
1.878000000000000000e+05,1.878000000000000000e+06,-9.340941300000000410e+03
1.880000000000000000e+05,1.880000000000000000e+06,-9.355217899999999645e+03
1.882000000000000000e+05,1.882000000000000000e+06,-9.350705500000000029e+03
1.884000000000000000e+05,1.884000000000000000e+06,-9.351582200000000739e+03
1.886000000000000000e+05,1.886000000000000000e+06,-9.354923800000000483e+03
1.888000000000000000e+05,1.888000000000000000e+06,-9.349535099999999147e+03
1.890000000000000000e+05,1.890000000000000000e+06,-9.337031100000000151e+03
1.892000000000000000e+05,1.892000000000000000e+06,-9.352040499999999156e+03
1.894000000000000000e+05,1.894000000000000000e+06,-9.351200999999999112e+03
1.896000000000000000e+05,1.896000000000000000e+06,-9.348358500000000276e+03
1.898000000000000000e+05,1.898000000000000000e+06,-9.349859700000000885e+03
1.900000000000000000e+05,1.900000000000000000e+06,-9.362302999999999884e+03
1.902000000000000000e+05,1.902000000000000000e+06,-9.352677200000000084e+03
1.904000000000000000e+05,1.904000000000000000e+06,-9.341679099999999380e+03
1.906000000000000000e+05,1.906000000000000000e+06,-9.360247499999999491e+03
1.908000000000000000e+05,1.908000000000000000e+06,-9.353893500000000131e+03
1.910000000000000000e+05,1.910000000000000000e+06,-9.338084199999999328e+03
1.912000000000000000e+05,1.912000000000000000e+06,-9.345474799999999959e+03
1.914000000000000000e+05,1.914000000000000000e+06,-9.353584000000000742e+03
1.916000000000000000e+05,1.916000000000000000e+06,-9.358118200000000797e+03
1.918000000000000000e+05,1.918000000000000000e+06,-9.346130600000000413e+03
1.920000000000000000e+05,1.920000000000000000e+06,-9.355672899999999572e+03
1.922000000000000000e+05,1.922000000000000000e+06,-9.345980999999999767e+03
1.924000000000000000e+05,1.924000000000000000e+06,-9.343711100000000442e+03
1.926000000000000000e+05,1.926000000000000000e+06,-9.363531199999999444e+03
1.928000000000000000e+05,1.928000000000000000e+06,-9.352919599999999264e+03
1.930000000000000000e+05,1.930000000000000000e+06,-9.347178700000000390e+03
1.932000000000000000e+05,1.932000000000000000e+06,-9.349936999999999898e+03
1.934000000000000000e+05,1.934000000000000000e+06,-9.359088200000000143e+03
1.936000000000000000e+05,1.936000000000000000e+06,-9.347375700000000506e+03
1.938000000000000000e+05,1.938000000000000000e+06,-9.349874400000000605e+03
1.940000000000000000e+05,1.940000000000000000e+06,-9.361591399999999339e+03
1.942000000000000000e+05,1.942000000000000000e+06,-9.351591300000000047e+03
1.944000000000000000e+05,1.944000000000000000e+06,-9.350638800000000629e+03
1.946000000000000000e+05,1.946000000000000000e+06,-9.354473299999999654e+03
1.948000000000000000e+05,1.948000000000000000e+06,-9.352827699999999822e+03
1.950000000000000000e+05,1.950000000000000000e+06,-9.346870199999999386e+03
1.952000000000000000e+05,1.952000000000000000e+06,-9.347443799999999101e+03
1.954000000000000000e+05,1.954000000000000000e+06,-9.349890499999999520e+03
1.956000000000000000e+05,1.956000000000000000e+06,-9.355872100000000501e+03
1.958000000000000000e+05,1.958000000000000000e+06,-9.346325600000000122e+03
1.960000000000000000e+05,1.960000000000000000e+06,-9.353248299999999290e+03
1.962000000000000000e+05,1.962000000000000000e+06,-9.347611699999999473e+03
1.964000000000000000e+05,1.964000000000000000e+06,-9.357004000000000815e+03
1.966000000000000000e+05,1.966000000000000000e+06,-9.353295099999999366e+03
1.968000000000000000e+05,1.968000000000000000e+06,-9.350900900000000547e+03
1.970000000000000000e+05,1.970000000000000000e+06,-9.348608200000000579e+03
1.972000000000000000e+05,1.972000000000000000e+06,-9.364850899999999456e+03
1.974000000000000000e+05,1.974000000000000000e+06,-9.353525999999999840e+03
1.976000000000000000e+05,1.976000000000000000e+06,-9.354668400000000474e+03
1.978000000000000000e+05,1.978000000000000000e+06,-9.360832500000000437e+03
1.980000000000000000e+05,1.980000000000000000e+06,-9.339620000000000800e+03
1.982000000000000000e+05,1.982000000000000000e+06,-9.355333399999999529e+03
1.984000000000000000e+05,1.984000000000000000e+06,-9.352309999999999491e+03
1.986000000000000000e+05,1.986000000000000000e+06,-9.350761200000000827e+03
1.988000000000000000e+05,1.988000000000000000e+06,-9.353873900000000503e+03
1.990000000000000000e+05,1.990000000000000000e+06,-9.346007100000000719e+03
1.992000000000000000e+05,1.992000000000000000e+06,-9.347803099999999176e+03
1.994000000000000000e+05,1.994000000000000000e+06,-9.351177200000000084e+03
1.996000000000000000e+05,1.996000000000000000e+06,-9.346694600000000719e+03
1.998000000000000000e+05,1.998000000000000000e+06,-9.343642599999999220e+03
2.000000000000000000e+05,2.000000000000000000e+06,-9.356508200000000215e+03
2.002000000000000000e+05,2.002000000000000000e+06,-9.352684800000000905e+03
2.004000000000000000e+05,2.004000000000000000e+06,-9.346559400000000096e+03
2.006000000000000000e+05,2.006000000000000000e+06,-9.340270300000000134e+03
2.008000000000000000e+05,2.008000000000000000e+06,-9.353095799999999144e+03
2.010000000000000000e+05,2.010000000000000000e+06,-9.351846400000000358e+03
2.012000000000000000e+05,2.012000000000000000e+06,-9.343381900000000314e+03
2.014000000000000000e+05,2.014000000000000000e+06,-9.344534100000000763e+03
2.016000000000000000e+05,2.016000000000000000e+06,-9.354659299999999348e+03
2.018000000000000000e+05,2.018000000000000000e+06,-9.348003099999999904e+03
2.020000000000000000e+05,2.020000000000000000e+06,-9.343670099999999366e+03
2.022000000000000000e+05,2.022000000000000000e+06,-9.350922000000000480e+03
2.024000000000000000e+05,2.024000000000000000e+06,-9.356809199999999691e+03
2.026000000000000000e+05,2.026000000000000000e+06,-9.345687099999999191e+03
2.028000000000000000e+05,2.028000000000000000e+06,-9.344821900000000824e+03
2.030000000000000000e+05,2.030000000000000000e+06,-9.338810699999999997e+03
2.032000000000000000e+05,2.032000000000000000e+06,-9.344753199999999197e+03
2.034000000000000000e+05,2.034000000000000000e+06,-9.344850599999999758e+03
2.036000000000000000e+05,2.036000000000000000e+06,-9.347843399999999747e+03
2.038000000000000000e+05,2.038000000000000000e+06,-9.339390400000000227e+03
2.040000000000000000e+05,2.040000000000000000e+06,-9.347645200000000841e+03
2.042000000000000000e+05,2.042000000000000000e+06,-9.353210600000000341e+03
2.044000000000000000e+05,2.044000000000000000e+06,-9.344251000000000204e+03
2.046000000000000000e+05,2.046000000000000000e+06,-9.339015299999999115e+03
2.048000000000000000e+05,2.048000000000000000e+06,-9.348574199999999109e+03
2.050000000000000000e+05,2.050000000000000000e+06,-9.349278399999999237e+03
2.052000000000000000e+05,2.052000000000000000e+06,-9.347312500000000000e+03
2.054000000000000000e+05,2.054000000000000000e+06,-9.346527700000000550e+03
2.056000000000000000e+05,2.056000000000000000e+06,-9.345104799999999159e+03
2.058000000000000000e+05,2.058000000000000000e+06,-9.343500700000000506e+03
2.060000000000000000e+05,2.060000000000000000e+06,-9.339906800000000658e+03
2.062000000000000000e+05,2.062000000000000000e+06,-9.354189700000000812e+03
2.064000000000000000e+05,2.064000000000000000e+06,-9.364986399999999776e+03
2.066000000000000000e+05,2.066000000000000000e+06,-9.334477800000000570e+03
2.068000000000000000e+05,2.068000000000000000e+06,-9.346758599999999205e+03
2.070000000000000000e+05,2.070000000000000000e+06,-9.350183899999999994e+03
2.072000000000000000e+05,2.072000000000000000e+06,-9.344489600000000792e+03
2.074000000000000000e+05,2.074000000000000000e+06,-9.344571500000000015e+03
2.076000000000000000e+05,2.076000000000000000e+06,-9.345423600000000079e+03
2.078000000000000000e+05,2.078000000000000000e+06,-9.350290899999999965e+03
